Id,21853 
Description,Imported PO on 2024 September 10 60106379 
Supplier Invoice Number,60106379 
Vendor Name,AGLC 
Payment Due Date,9/10/2024 2:00:00 AM 
Date Expected,9/10/2024 2:00:00 AM 
Subtotal,34429.30 
Shipping,200.00 
Recycle Fee,0.60 
Deposit Amount,6.00 
GST,1721.46
Total,36357.36


Sku,Name,PackageReference,Category,Subcategory,OrderedQty,CurrentQty,UnitCost,Total
108639,CPY Chemsicle Sativa 14 g - Tweed,2400001927,Flower,Whole Flower,6.000,6.000,48.99,293.94
110583,RUB BC Organic Hollywood Mac Indica 14 g - Simply Bare,HMPGC008,Flower,Whole Flower,4.000,4.000,83.98,335.92
109914,AUR Black Jelly Sativa 14 g - San Rafael '71,6427902739825,Flower,Whole Flower,6.000,6.000,52.46,314.76
109703,APH Space Age Cake Indica 14 g - Redecan,3101733434,Flower,Whole Flower,18.000,18.000,52.49,944.82
110043,TIL Khalifuel Indica 14 g - Redecan,3101732223,Flower,Whole Flower,6.000,6.000,48.99,293.94
109801,TIL Frosted Animal Cake Sativa 14 g - Redecan,3101732511,Flower,Whole Flower,6.000,6.000,48.99,293.94
290420,MOT Peach OG Dab Syringe Sativa 1.2 g - BoxHot,ME0002495,Concentrates,Distillate,12.000,12.000,24.51,294.12
103362,ORG Freshly Minted Lozenges Sativa 10 caps - Edison,20146240103,Oils & Caps,Capsules & Soft Gels,12.000,12.000,14.05,168.60
201697,MOT Tropicanna Banana AIO Disposable Vape Sativa 1 g - BoxHot,ME0002561,Vapes,All-In-Ones,12.000,12.000,25.20,302.40
201800,AUG Peach Lemonade Disposable Vape Sativa 0.95 g - Back Forty,2401157,Vapes,All-In-Ones,12.000,12.000,25.90,310.80
202149,PP Berry Burst Disposable Vape Indica 1 g - Ambr,PPS00005307,Vapes,All-In-Ones,12.000,12.000,27.99,335.88
109475,TIL Inzane in the Membrane Sativa 28 g - Good Supply,3101733968,Flower,Whole Flower,6.000,6.000,73.49,440.94
109905,ETB Sour Grapefruit Haze Sativa 7 g - Color Cannabis,L240700196,Flower,Whole Flower,12.000,12.000,21.19,254.28
110018,CBT Guava Jam Hybrid 7 g - NugZ,2924014P1,Flower,Whole Flower,12.000,12.000,27.99,335.88
291887,GTN Crumbled Lime Pressed Hash Sativa 2 g - 3Saints,DD1F0508,Concentrates,Hash & Kief,12.000,12.000,17.21,206.52
103015,MPL CBN 1:2 NightTime Oil 30 Hybrid 28.5 g - MediPharm Labs,24AEK-O1F1,Oils & Caps,Oils,12.000,12.000,27.72,332.64
110351,CRO Cookie Dough Sativa 7 g - Spinach,017506,Flower,Milled Flower,12.000,12.000,17.31,207.72
103058,ORG Funk Master Hybrid 7 g - Shred,11743240814,Flower,Milled Flower,12.000,12.000,22.74,272.88
108782,ORG All Dressed Hybrid 7 g - Shred,11853240806,Flower,Milled Flower,12.000,12.000,22.74,272.88
291857,FRE Brain Fruit Live Rosin Sativa 1 g - The Goo!,3348,Concentrates,Rosin,6.000,6.000,30.10,180.60
291100,HIF Watermelon Mjto Ice Infused PR 5 x 0.5 g Sativa 2.5 g - Virtue,EI0017,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,28.01,336.12
291529,HIF Peachy Pom Bellinii Infused PR 5 x 0.5 g Indica 2.5 g - Virtue,EI0019,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,28.01,336.12
291901,ORG Crimson Toro Infused PR 5 x 0.5 g Indica 2.5 g - Trailblazer,11776240825,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,23.32,279.84
291876,AUR Mango Infused PR 3 x 0.5 g Indica 1.5 g - Tasty's,7821125197294,Pre-Rolls,Infused Pre-Rolls,24.000,24.000,20.98,503.52
291896,TKN Tigers Bleed Liquid Diamond Infused PR 5 x 0.25 g Hybrid 1.25 g - Status,T240215,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,17.49,104.94
291897,TKN Mellonaire Liquid Diamond Infused PR 5 x 0.25 g Indica 1.25 g - Status,T240216,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,17.49,104.94
291894,TKN Lamborkiwi Liquid Diamond Infused PR 1 x 1 g Indica 1 g - Status,T240214,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,13.78,82.68
291629,PEA Fully Charged Pink Lemonade Infused PR 1 x 0.7 g Sativa 0.7 g - Spinach,018560,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,6.58,78.96
291074,ORG Tropic Thunder Heavies Infused PR 3 x 0.5 g Blend 1.5 g - Shred X,11800240727,Pre-Rolls,Infused Pre-Rolls,36.000,36.000,16.18,582.48
291713,ORG Megamelon Heavies Infused PR 3 x 0.5 g Hybrid 1.5 g - Shred X,11502240606,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,16.18,194.16
291620,MOT Tropicoco & Watermelon Infused PR 2 x 0.5 g Hybrid 1 g - Rizzlers,ME0002855,Pre-Rolls,Infused Pre-Rolls,24.000,24.000,9.09,218.16
291619,MOT Blud Orange & Berry Drip Infused PR 2 x 0.5 g Hybrid 1 g - Rizzlers,ME0002872,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,9.09,109.08
291621,BLD Root Bold Vanilla Diamond Infused Blunt PR 1 x 1 g Indica 1 g - Bold,9538-2401-08,Pre-Rolls,Infused Blunts,12.000,12.000,11.89,142.68
291526,MOT Smoking Power Infused PR 3 x 0.5 g Hybrid 1.5 g - BoxHot,ME0002792,Pre-Rolls,Infused Blunts,12.000,12.000,13.29,159.48
290772,BZA Juicy Jet Pack Infused PR 4 x 0.5 g Hybrid 2 g - BZAM,006536,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,22.34,134.04
291832,SG Hawaiian Plushers Dbl Infused PR 3 x 0.5 g Hybrid 1.5 g - Dab Bods,24HPP2636,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,25.23,302.76
291446,SG Sweet Island Coconut Infused PR 3 x 0.5 g Hybrid 1.5 g - Dab Bods,24SDJ2705,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,15.37,184.44
291486,SSC Poppin Peach Amplified Infused PR 3 x 0.5 g Sativa 1.5 g - Frootyhooty,W07261428-1,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,17.49,209.88
200776,MOT Peach OG Vape Cartridge Sativa 1.2 g - BoxHot,ME0002545,Vapes,510 Carts,12.000,12.000,24.91,298.92
291487,SSC Wild Watermelon Coconut Amplified Infused PR 3 x 0.5 g Indica 1.5 g - Frootyhooty,W07260706-1,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,17.49,209.88
290523,DEC Distillate Taster Pack Infused PR 3 x 0.5 g Hybrid 1.5 g - General Admission,24080000164,Pre-Rolls,Infused Pre-Rolls,24.000,24.000,19.49,467.76
291228,TIL Groovy Grape Infused Blunt PR 1 x 1 g Indica 1 g - Good Supply Juiced,3101733646,Pre-Rolls,Infused Pre-Rolls,18.000,18.000,10.49,188.82
291156,TIL Juiced Discovery Pack Infused PR 3 x 0.5 g Hybrid 1.5 g - Good Supply Juiced,3101733550,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,17.49,104.94
291061,TIL Pineapple Paradise Juiced Infused PR 5 x 0.5 g Hybrid 2.5 g - Good Supply Juiced,3101734025,Pre-Rolls,Infused Pre-Rolls,6.000,6.000,22.39,134.34
291800,SSC Lychee Bubble Tea Infused PR 3 x 0.5 g Hybrid 1.5 g - Infuzed by Lamplighter,W07265942-1,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,17.48,209.76
291811,CRO Hash Fusions Sour Blueberry x Sour Blueberry Infused PR 1 x 1 g Indica 1 g - Lord Jones,FA01635,Pre-Rolls,Infused Pre-Rolls,12.000,12.000,12.73,152.76
291575,DEC Jungle Fruit Distillate Infused PR 5 x 0.5 g Sativa 2.5 g - General Admission,24070000994,Pre-Rolls,Infused Pre-Rolls,48.000,24.000,26.25,1260.00
